"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 20:36:19 GMT 2024","Fri Jun 14 20:36:19 GMT 2024","18","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 20:36:19 GMT 2024","Fri Jun 14 20:36:19 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 20:36:20 GMT 2024","Fri Jun 14 20:36:20 GMT 2024","29","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 20:36:21 GMT 2024","Fri Jun 14 20:36:21 GMT 2024","11","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 20:36:21 GMT 2024","Fri Jun 14 20:36:21 GMT 2024","47","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 20:36:21 GMT 2024","Fri Jun 14 20:36:21 GMT 2024","8","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 20:36:20 GMT 2024","Fri Jun 14 20:36:20 GMT 2024","11","tests.api","test_api_signup","","","","test_should_return_400_if_lastname_too_short",""
"passed","Fri Jun 14 20:36:19 GMT 2024","Fri Jun 14 20:36:20 GMT 2024","353","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 20:36:20 GMT 2024","Fri Jun 14 20:36:20 GMT 2024","11","tests.api","test_api_signup","","","","test_should_return_400_if_firstname_too_short",""
"passed","Fri Jun 14 20:36:20 GMT 2024","Fri Jun 14 20:36:20 GMT 2024","13","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 20:36:18 GMT 2024","Fri Jun 14 20:36:19 GMT 2024","778","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 20:36:20 GMT 2024","Fri Jun 14 20:36:20 GMT 2024","9","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 20:36:19 GMT 2024","Fri Jun 14 20:36:19 GMT 2024","315","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 20:36:20 GMT 2024","Fri Jun 14 20:36:20 GMT 2024","318","tests.api","test_api_signup","","","","test_should_return_422_if_user_already_exists",""
