"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 20:35:16 GMT 2024","Thu Jun 13 20:35:16 GMT 2024","315","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Thu Jun 13 20:35:16 GMT 2024","Thu Jun 13 20:35:17 GMT 2024","369","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Thu Jun 13 20:35:15 GMT 2024","Thu Jun 13 20:35:16 GMT 2024","734","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 13 20:35:16 GMT 2024","Thu Jun 13 20:35:16 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 13 20:35:18 GMT 2024","Thu Jun 13 20:35:18 GMT 2024","10","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Thu Jun 13 20:35:18 GMT 2024","Thu Jun 13 20:35:18 GMT 2024","9","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Thu Jun 13 20:35:16 GMT 2024","Thu Jun 13 20:35:16 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 13 20:35:18 GMT 2024","Thu Jun 13 20:35:18 GMT 2024","45","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Thu Jun 13 20:35:17 GMT 2024","Thu Jun 13 20:35:17 GMT 2024","17","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Thu Jun 13 20:35:17 GMT 2024","Thu Jun 13 20:35:17 GMT 2024","15","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Thu Jun 13 20:35:17 GMT 2024","Thu Jun 13 20:35:17 GMT 2024","28","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
