"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 19:57:17 GMT 2024","Thu Jun 13 19:57:17 GMT 2024","14","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 13 19:57:17 GMT 2024","Thu Jun 13 19:57:17 GMT 2024","337","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Thu Jun 13 19:57:34 GMT 2024","Thu Jun 13 19:57:34 GMT 2024","50","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Thu Jun 13 19:57:19 GMT 2024","Thu Jun 13 19:57:19 GMT 2024","10","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Thu Jun 13 19:57:29 GMT 2024","Thu Jun 13 19:57:29 GMT 2024","38","tests.ui","test_home","","","","test_successful_login",""
"passed","Thu Jun 13 19:57:17 GMT 2024","Thu Jun 13 19:57:18 GMT 2024","304","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 13 19:57:30 GMT 2024","Thu Jun 13 19:57:30 GMT 2024","694","tests.ui","test_login","","","","test_successful_login",""
"passed","Thu Jun 13 19:57:18 GMT 2024","Thu Jun 13 19:57:18 GMT 2024","11","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Thu Jun 13 19:57:18 GMT 2024","Thu Jun 13 19:57:18 GMT 2024","18","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Thu Jun 13 19:57:16 GMT 2024","Thu Jun 13 19:57:17 GMT 2024","770","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 13 19:57:32 GMT 2024","Thu Jun 13 19:57:33 GMT 2024","885","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Thu Jun 13 19:57:19 GMT 2024","Thu Jun 13 19:57:19 GMT 2024","10","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Thu Jun 13 19:57:31 GMT 2024","Thu Jun 13 19:57:32 GMT 2024","690","tests.ui","test_login","","","","test_failed_login",""
"passed","Thu Jun 13 19:57:20 GMT 2024","Thu Jun 13 19:57:21 GMT 2024","705","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 13 19:57:21 GMT 2024","Thu Jun 13 19:57:22 GMT 2024","693","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 13 19:57:25 GMT 2024","Thu Jun 13 19:57:28 GMT 2024","2530","tests.ui","test_edit","","","","test_edit",""
"passed","Thu Jun 13 19:57:18 GMT 2024","Thu Jun 13 19:57:18 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Thu Jun 13 19:57:18 GMT 2024","Thu Jun 13 19:57:18 GMT 2024","339","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Thu Jun 13 19:57:19 GMT 2024","Thu Jun 13 19:57:19 GMT 2024","46","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Thu Jun 13 19:57:23 GMT 2024","Thu Jun 13 19:57:24 GMT 2024","681","tests.ui","test_edit","","","","test_autocomplete",""
